ID Đơn Hàng,ID Khách Hàng,Ngày Đặt Hàng,Danh Sách Sản Phẩm,Số Lượng Sản Phẩm,Tổng Giá Trị Đơn Hàng,Trạng Thái Đơn Hàng,Phương Thức Thanh Toán
225,42,2024-05-25,137,5,3069685,Tiền mặt,Đã hủy
226,50,2024-08-29,120,9,4722147,Chuyển khoản,Đang xử lý
227,16,2024-11-03,117,10,7464230,Tiền mặt,Đã giao
228,24,2024-06-14,127,4,2596096,Thẻ tín dụng,Đã hủy
229,4,2024-02-01,121,10,5843270,Chuyển khoản,Đã giao
230,33,2024-01-09,140,4,2679776,Chuyển khoản,Đã giao
231,11,2024-08-06,127,9,5841216,Chuyển khoản,Đang xử lý
232,48,2024-01-15,110,1,589220,Thẻ tín dụng,Đã giao
233,34,2024-03-30,114,8,7029808,Tiền mặt,Đã hủy
234,36,2024-07-30,107,4,2466876,Chuyển khoản,Đã hủy
235,37,2024-09-23,106,3,2143479,Chuyển khoản,Đã giao
236,14,2024-05-08,131,9,4837239,Thẻ tín dụng,Đang xử lý
237,31,2024-01-24,103,4,1934784,Tiền mặt,Đã hủy
238,48,2024-10-12,122,5,4593425,Tiền mặt,Đang xử lý
239,31,2024-04-02,102,10,4691420,Chuyển khoản,Đang xử lý
240,5,2024-01-20,145,5,3208100,Tiền mặt,Đã hủy
241,35,2024-09-27,119,6,955530,Thẻ tín dụng,Đã hủy
242,34,2024-11-01,146,9,4317534,Chuyển khoản,Đã hủy
243,41,2024-03-23,117,3,2239269,Chuyển khoản,Đã hủy
244,50,2024-05-11,129,2,1059424,Thẻ tín dụng,Đã hủy
245,18,2024-02-26,108,5,1374800,Chuyển khoản,Đang xử lý
246,21,2024-02-04,121,1,584327,Tiền mặt,Đang xử lý
247,50,2024-08-25,111,9,1953621,Chuyển khoản,Đã hủy
248,30,2024-05-28,143,4,1070752,Chuyển khoản,Đã hủy
249,32,2024-03-14,105,9,1715094,Chuyển khoản,Đang xử lý
250,41,2024-09-24,118,2,687376,Thẻ tín dụng,Đã hủy
555,14,5,107,5,3083595,Tiền mặt,Đang Xử Lý
1111,10,1,104,2,1970308,Đang Xử Lý,Tiền mặt
777,11,7,105,7,1333962,Đang Xử Lý,Tiền mặt
666,12,6,102,4,1876568,Đang Xử Lý,Tiền mặt
337,7,3,105,42,8003772,Đang Xử Lý,Thẻ tín dụng
