ID Sản Phẩm,Tên Sản Phẩm,Giá,Số Lượng Tồn Kho,Mô Tả,Nhóm Sản Phẩm
101,Rise,727404,12,Fact me reality improve race parent.,Phụ kiện
102,Bar,469142,38,Citizen guy watch feel finally only artist.,Đồng hồ
103,Early,483696,47,One new listen him score.,Phụ kiện
104,Above,985154,47,Today drop model during who almost current.,Giày dép
105,Eat,190566,42,Realize season organization time again though star.,Đồ gia dụng
106,Plant,714493,65,Price television sea deal.,Giày dép
107,If,616719,32,Change war dark identify whole amount.,Phụ kiện
108,Top,274960,74,Common positive computer participant modern share.,Đồng hồ
109,In,871822,90,Strong major develop part all study worker military.,Giày dép
110,Thing,589220,71,Might close hotel.,Giày dép
111,Require,217069,71,Recently finally response at rich show key.,Phụ kiện
112,Letter,805961,32,Range us physical book live.,Đồ gia dụng
113,Like,679167,76,Decision will notice he important yes skill.,Đồ gia dụng
114,Leader,878726,60,Sound reduce where similar certain.,Đồ gia dụng
115,Consider,806696,27,Anyone pattern draw traditional.,Quần áo
116,Trade,137158,48,Baby budget any resource administration.,Đồng hồ
117,Certain,746423,1,Area else become material between cup computer small.,Phụ kiện
118,Response,343688,12,Identify movement seat finish him down assume.,Đồng hồ
119,Provide,159255,100,Crime billion system activity.,Quần áo
120,Girl,524683,14,Scientist dog fact sport station.,Đồ gia dụng
121,More,584327,7,Role ten road fund.,Giày dép
122,Political,918685,28,Foot federal seem series at I.,Giày dép
123,Shoulder,315060,58,Country possible economy me.,Quần áo
124,Treat,372476,60,See focus hot investment have party half.,Đồng hồ
125,Camera,492607,65,Sense cover brother woman.,Đồng hồ
126,Identify,968586,17,Give pick dark protect face.,Quần áo
127,Phone,649024,85,Ground issue effort high practice.,Đồng hồ
128,Leg,179193,22,Professional always very building condition idea call laugh.,Đồ gia dụng
129,Really,529712,54,Somebody think another plant already director.,Phụ kiện
130,Will,269572,82,Onto pick deep cell budget of his.,Giày dép
131,Agent,537471,67,Any effect whom.,Đồng hồ
132,Age,641193,58,For yard far statement.,Đồng hồ
133,Feeling,755535,20,Thus prevent foot agent write large real.,Quần áo
134,Not,529080,71,Leader reveal instead consumer expert across off.,Đồ gia dụng
135,Perform,196606,21,Mouth exist bag the civil.,Đồng hồ
136,Employee,903966,73,West research among material rate foreign world.,Đồng hồ
137,Brother,613937,45,Reality until adult early whatever to parent.,Phụ kiện
138,Easy,229031,28,Majority list interest for couple item catch.,Đồ gia dụng
139,With,714773,19,Car on minute morning detail fill argue.,Đồ gia dụng
140,Development,669944,100,Prepare statement seat democratic paper former.,Đồng hồ
141,Technology,361229,51,Mission likely hour whether.,Phụ kiện
142,Public,652703,87,Few region special involve news.,Phụ kiện
143,Government,267688,36,Door city character clear race.,Quần áo
144,A,656293,29,Buy city door then agency top.,Đồng hồ
145,Apply,641620,90,And prepare imagine billion evidence.,Đồng hồ
146,Group,479726,20,Likely once need go again.,Đồng hồ
147,Lay,518604,76,Later drug adult dinner we.,Quần áo
148,As,510184,31,Beautiful key war that million.,Đồng hồ
149,Movie,158668,49,Tell line team.,Đồng hồ
150,Democrat,842667,37,Can eat each country strong region management.,Phụ kiện
