ID Đơn Hàng,ID Khách Hàng,Ngày Đặt Hàng,Danh Sách Sản Phẩm,Số Lượng Sản Phẩm,Tổng Giá Trị Đơn Hàng,Trạng Thái Đơn Hàng,Phương Thức Thanh Toán
225,42,2024-05-25,137,5,3069685,Đã hủy,Tiền mặt
226,50,2024-08-29,120,9,4722147,Đang xử lý,Chuyển khoản
227,16,2024-11-03,117,10,7464230,Đã giao,Tiền mặt
228,24,2024-06-14,127,4,2596096,Đã hủy,Thẻ tín dụng
229,4,2024-02-01,121,10,5843270,Đã giao,Chuyển khoản
230,33,2024-01-09,140,4,2679776,Đã giao,Chuyển khoản
231,11,2024-08-06,127,9,5841216,Đang xử lý,Chuyển khoản
232,48,2024-01-15,110,1,589220,Đã giao,Thẻ tín dụng
233,34,2024-03-30,114,8,7029808,Đã hủy,Tiền mặt
234,36,2024-07-30,107,4,2466876,Đã hủy,Chuyển khoản
235,37,2024-09-23,106,3,2143479,Đã giao,Chuyển khoản
236,14,2024-05-08,131,9,4837239,Đang xử lý,Thẻ tín dụng
237,31,2024-01-24,103,4,1934784,Đã hủy,Tiền mặt
238,48,2024-10-12,122,5,4593425,Đang xử lý,Tiền mặt
239,31,2024-04-02,102,10,4691420,Đang xử lý,Chuyển khoản
240,5,2024-01-20,145,5,3208100,Đã hủy,Tiền mặt
241,35,2024-09-27,119,6,955530,Đã hủy,Thẻ tín dụng
242,34,2024-11-01,146,9,4317534,Đã hủy,Chuyển khoản
243,41,2024-03-23,117,3,2239269,Đã hủy,Chuyển khoản
244,50,2024-05-11,129,2,1059424,Đã hủy,Thẻ tín dụng
245,18,2024-02-26,108,5,1374800,Đang xử lý,Chuyển khoản
246,21,2024-02-04,121,1,584327,Đang xử lý,Tiền mặt
247,50,2024-08-25,111,9,1953621,Đã hủy,Chuyển khoản
248,30,2024-05-28,143,4,1070752,Đã hủy,Chuyển khoản
249,32,2024-03-14,105,9,1715094,Đang xử lý,Chuyển khoản
250,41,2024-09-24,118,2,687376,Đã hủy,Thẻ tín dụng
555,14,5,107,5,3083595,Đang Xử Lý,Tiền mặt
1111,10,1,104,2,1970308,Tiền mặt,Đang Xử Lý
777,11,7,105,7,1333962,Tiền mặt,Đang Xử Lý
666,12,6,102,4,1876568,Tiền mặt,Đang Xử Lý
337,7,3,105,42,8003772,Thẻ tín dụng,Đang Xử Lý
